"Latitude","Longitude","Code de l'entité","Libellé","Surface de bassin versant hydrologique (km²)","Surface de bassin versant topographique (km²)","Débit (m³/s)","Intervalle de confiance","Taille de l'échantillon"
"49.2620208","2.3780663","H774202001","Le Therain à Maysel","","1218","17.5","0.95","74"
"49.1993729","2.5536461","H7813010","La Nonette à Courteuil [Saint-Nicolas d'Acy]","","339","3.26","0.95","41"
"49.1993729","2.5536461","H781301001","La Nonette à Courteuil [Saint-Nicolas d'Acy] - Fermée","","339","3.27","0.95","40"
"49.1993638","2.5536324","H781301002","La Nonette à Courteuil [Saint-Nicolas d'Acy]","","339","","0.95","1"
"49.1033362","2.6880363","H7813210","La Launette à Ver-sur-Launette","","42","1.15","0.95","29"
"49.1032619","2.6880159","H781321001","La Launette à Ver-sur-Launette","","42","1.15","0.95","29"
"49.197689","2.2088729","H7843010","L'Esches à Bornel","","106","1.22","0.95","30"
"49.197689","2.2088729","H784301001","L'Esches à Bornel","","106","1.22","0.95","30"
"48.8525762","0.4848365","I0109910","[La Siffletière (source)] à Villers-en-Ouche","","","","0.95","0"
"48.8525762","0.4848365","I010991001","[La Siffletière (source)] à Villers-en-Ouche","","","","0.95","0"
"49.2525651","0.2106113","I0330001","La Touques à Pierrefitte-en-Auge","825","825","","0.95","2"
"49.2525651","0.2106113","I033000101","La Touques à Pierrefitte-en-Auge","825","825","","0.95","2"
"49.3875158","0.3087315","I0903210","La Morelle à Fiquefleur-Équainville","","43.5","","0.95","0"
"49.3875158","0.3087315","I090321001","La Morelle à Fiquefleur-Équainville","","43.5","1.43","0.95","10"
"49.3675529","0.2660064","I0909910","Le fossé 01 de la Commune de la Theil-en-Auge [source] à Genneville","","","","0.95","0"
"49.3675529","0.2660064","I090991001","Le fossé 01 de la Commune de la Theil-en-Auge [source] à Genneville","","","","0.95","0"
"48.8315014","0.2776996","I1011010","La Touques à Mardilly","","87","6.09","0.95","24"
"48.8315014","0.2776996","I101101001","La Touques à Mardilly","","87","6.09","0.95","24"
"48.9753353","0.2637812","I1021010","La Touques aux Moutiers-Hubert","","194","","0.95","5"
"48.9753353","0.2637812","I102101001","La Touques aux Moutiers-Hubert","","194","","0.95","5"
"49.1093956","0.2173183","I1031010","La Touques à Saint-Martin-de-la-Lieue","","289","12.8","0.95","38"
"49.1093956","0.2173183","I103101001","La Touques à Saint-Martin-de-la-Lieue","","289","12.8","0.95","38"
"49.1314704","0.2536006","I1103010","L'Orbiquet à Beuvillers","","326","10.2","0.95","31"
"49.1314704","0.2536006","I110301001","L'Orbiquet à Beuvillers","","326","10.2","0.95","31"
"49.2871306","0.1868384","I1141010","La Touques à Pont-l'Évêque [Rue de la Licorne]","","888.2","","0.95","0"
"49.2871306","0.1868384","I114101001","La Touques à Pont-l'Évêque [Rue de la Licorne]","","888.2","","0.95","0"
"49.2506545","0.2401618","I1143010","Le Chaussey au Mesnil-sur-Blangy [Le Gruchet]","","52","","0.95","0"
"49.2506545","0.2401618","I114301001","Le Chaussey au Mesnil-sur-Blangy [Le Gruchet]","","52","","0.95","2"
"49.2545895","0.2215371","I1143020","Le Chaussey à Manneville-la-Pipard","","52","2.35","0.95","22"
"49.2545895","0.2215371","I114302001","Le Chaussey à Manneville-la-Pipard","","52","2.35","0.95","22"
"49.2183938","0.3209407","I1143030","Le fossé 01 de Brévedent au Pin","","9.5","","0.95","0"
"49.2183938","0.3209407","I114303001","Le fossé 01 de Brévedent au Pin","","9.5","","0.95","0"
"49.2268154","0.3040918","I1143040","Le Chaussey au Brévedent [3 - aval]","","25.8","","0.95","0"
"49.2268154","0.3040918","I114304001","Le Chaussey au Brévedent [3 - aval]","","25.8","","0.95","0"
"49.2053171","0.3025079","I1143410","[Le drain (D 2)] au Pin [La Pinterie]","","0.19","","0.95","0"
"49.2053171","0.3025079","I114341001","[Le drain (D 2)] au Pin [La Pinterie]","","0.19","","0.95","0"
"49.2075148","0.3034367","I1143420","Le Chaussey au Brévedent [1 - amont]","","2.9","","0.95","0"
"49.2075148","0.3034367","I114342001","Le Chaussey au Brévedent [1 - amont]","","2.9","","0.95","0"
"49.2244389","0.3052183","I1143430","Le Chaussey au Brévedent [2 - intermédiaire]","","12.5","","0.95","0"
"49.2244389","0.3052183","I114343001","Le Chaussey au Brévedent [2 - intermédiaire]","","12.5","","0.95","0"
"49.2974031","0.2858271","I1203010","La Calonne aux Authieux-sur-Calonne","","175","8.30","0.95","48"
"49.2974031","0.2858271","I120301001","La Calonne aux Authieux-sur-Calonne","","175","8.31","0.95","46"
"49.2974031","0.2858271","I120301002","La Calonne aux Authieux-sur-Calonne","","175","","0.95","3"
"49.2752799","0.3397104","I1203020","La Calonne à Bonneville-la-Louvet","","151","","0.95","0"
"49.2752799","0.3397104","I120302001","La Calonne à Bonneville-la-Louvet","","151","","0.95","0"
"49.2913494","0.1914768","I1203030","La Calonne à Pont-l'Évêque [Rue de la Calonne]","","203","","0.95","0"
"49.2913494","0.1914768","I120303001","La Calonne à Pont-l'Évêque [Rue de la Calonne]","","203","","0.95","0"
"49.2644329","0.1709618","I1213110","L'Yvie à Saint-Hymer","","41","1.07","0.95","7"
"49.2644329","0.1709618","I121311001","L'Yvie à Saint-Hymer","","41","1.07","0.95","7"
"49.3085078","0.1651341","I1213410","Le Douet à Coudray-Rabut","","15.9","","0.95","0"
"49.3085078","0.1651341","I121341001","Le Douet à Coudray-Rabut","","15.9","","0.95","0"
"49.0384515","-0.0235389","I1230001","La Dives à Bretteville-sur-Dives","522","522","","0.95","2"
"49.0384515","-0.0235389","I123000101","La Dives à Bretteville-sur-Dives","522","522","","0.95","2"
